1,'Sandalia Mariha Calçados Chic Verão Nude',29.90,'34-39','Sandália','Feminino','Bege','Mariha Calçados',2020-12-30,'a'
2,'Coturno Amorelle Plataforma Sintético Preto',79.90,'34-39','Coturno','Feminino','Preto','Amorelle',2020-11-11,'s'
3,'Tênis Sneaker Leve Masculino Conforto Preto',64.90,'38-44','Tênis','Masculino','Preto','Rebento',2021-01-05,'a'
4,'Sapatilha FiveBlu Laço Onça Bege/Preto',39.99,'34-39','Sapatilha','Feminino','Bege','FiveBlu',2020-12-23,'n'
5,'Tênis Sapatênis Casual JL SHOES Branco',69.90,'33-39','Tênis','Feminino','Branco','JL SHOES',2020-09-16,'a'
6,'Coturno Madale Salto Alto Grosso Preto',79.90,'34-39','Coturno','Feminino','Preto','MADALE',2020-12-10,'a'
7,'Chinelo Cavalera Logo Preto',44.99,'37-44','Chinelo','Masculino','Preto','Cavalera',2020-08-28,'s'
8,'Bota Chelsea Vittal em Couro Café',129.70,'37-44','Bota','Masculino','Café','VITTAL CALÇADOS',2020-10-15,'n'
9,'Sandália Vizzano Amarração Preta',99.90,'33-40','Sandália','Feminino','Preto','Vizzano',2020-05-08,'a'
10,'Tênis Jogging DAFITI SHOES Recortes Preto',69.90,'34-39','Tênis','Feminino','Preto','DAFITI SHOES',2020-05-26,'a'
11,'Bota Coturno Casual Cano Curto Rebento com Zíper',45.90,'33-40','Bota','Feminino','Café','Rebento',2020-12-09,'a'
12,'Sapatilha Capodarte Monograma Cinza/Preto',89.99,'33-40','Sapatilha','Feminino','Cinza','Capodarte',2020-09-19,'a'
13,'Tênis Ollie Zyon Azul-Marinho',79.99,'37-43','Tênis','Masculino','Azul marinho','Ollie',2020-06-07,'s'
14,'Chinelo Sandália de Couro Masculino',89.99,'37-44','Chinelo','Masculino','Café','Duvelmon',2020-10-12,'a'
15,'Tamanco Mariha Calçados Flatform Vermelho',29.90,'34-40','Tamanco','Feminino','Vermelho','Mariha Calçados',2020-12-30,'a'
