1;'Sandalia Mariha Calçados Chic Verão Nude';29.90;'34-39';'Sandália';'Feminino';'Bege';'Mariha Calçados';30-12-2020;'a'
2;'Coturno Amorelle Plataforma Sintético Preto';79.90;'34-39';'Coturno';'Feminino';'Preto';'Amorelle';11-11-2020;'s'
3;'Tênis Sneaker Leve Masculino Conforto Preto';64.90;'38-44';'Tênis';'Masculino';'Preto';'Rebento';05-01-2021;'a'
4;'Sapatilha FiveBlu Laço Onça Bege/Preto';39.99;'34-39';'Sapatilha';'Feminino';'Bege';'FiveBlu';23-12-2020;'n'
5;'Tênis Sapatênis Casual JL SHOES Branco';69.90;'33-39';'Tênis';'Feminino';'Branco';'JL SHOES';16-09-2020;'a'
6;'Coturno Madale Salto Alto Grosso Preto';79.90;'34-39';'Coturno';'Feminino';'Preto';'MADALE';10-12-2020;'a'
7;'Chinelo Cavalera Logo Preto';44.99;'37-44';'Chinelo';'Masculino';'Preto';'Cavalera';'28-08-2020';'s'
8;'Bota Chelsea Vittal em Couro Café';129.70;'37-44';'Bota';'Masculino';'Café';'VITTAL CALÇADOS';15-10-2020;'n'
9;'Sandália Vizzano Amarração Preta';99.90;'33-40';'Sandália';'Feminino';'Preto';'Vizzano',08-05-2020;'a'
10;'Tênis Jogging DAFITI SHOES Recortes Preto';69.90;'34-39';'Tênis';'Feminino';'Preto';'DAFITI SHOES';26-05-2020;'a'
11;'Bota Coturno Casual Cano Curto Rebento com Zíper';45.90;'33-40';'Bota';'Feminino';'Café';'Rebento';09-12-2020;'a'
12;'Sapatilha Capodarte Monograma Cinza/Preto';89.99;'33-40';'Sapatilha';'Feminino';'Cinza';'Capodarte';19-09-2020;'a'
13;'Tênis Ollie Zyon Azul-Marinho';79.99;'37-43';'Tênis';'Masculino';'Azul marinho';'Ollie';07-06-2020;'s'
14;'Chinelo Sandália de Couro Masculino';89.99;'37-44';'Masculino';'Café';'Duvelmon';12-10-2020;'a'
15;'Tamanco Mariha Calçados Flatform Vermelho';29.90;'34-40';'Feminino';'Vermelho';'Mariha Calçados';30-12-2020;'a'
